TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-12-17,2024-12-17,CM,NSE,STK,5385,INE216P01012,AAVAS,EQ,,,,,AAVAS FINANCIERS LIMITED,1659.9,1683.2,1657.1,1664.1,1663.2,1669.5,,1663.95,,,128389,213427682.55,5111,F1,1,,,,,
2024-12-17,2024-12-17,CM,NSE,STK,1797,INE01BK01022,AWHCL,EQ,,,,,ANTONY WASTE HDG CELL LTD,689.0,696.25,675.1,678.4,676.25,686.05,,678.25,,,101632,69507545.25,4731,F1,1,,,,,
2024-12-17,2024-12-17,CM,NSE,STK,24908,INE0R4Z01018,BRACEPORT,ST,,,,,BRACE PORT LOGISTICS LTD,105.2,106.0,99.85,100.6,99.85,105.1,,100.6,,,40000,4071440.0,22,F1,1600,,,,,
2024-12-17,2024-12-17,CM,NSE,STK,11731,INE025A01027,CONSOFINVT,EQ,,,,,CONSO. FIN. & HOLD. LTD.,235.56,243.99,231.5,232.38,232.51,234.53,,232.38,,,23022,5467103.57,761,F1,1,,,,,
2024-12-17,2024-12-17,CM,NSE,STK,12219,INE263M01029,RUSTOMJEE,EQ,,,,,KEYSTONE REALTORS LIMITED,687.0,693.0,683.2,687.95,685.5,690.95,,687.85,,,22413,15442704.15,1344,F1,1,,,,,
2024-12-17,2024-12-17,CM,NSE,STK,22739,INF247L01AP3,MON100,EQ,,,,,MOTILAL OS NASDAQ100 ETF,216.44,216.44,208.1,212.93,213.64,207.47,,212.93,,,1382638,295330468.04,21185,F1,1,,,,,
2024-12-17,2024-12-17,CM,NSE,STK,14445,INE308A01027,NAHARPOLY,EQ,,,,,NAHAR POLY FILMS LIMITED,336.0,353.95,306.0,309.6,307.5,304.1,,309.55,,,623577,207170979.6,12406,F1,1,,,,,
2024-12-17,2024-12-17,CM,NSE,STK,24715,INE09XN01023,AKUMS,EQ,,,,,AKUMS DRUGS AND PHARMA L,589.0,589.0,577.0,578.95,580.0,584.5,,578.95,,,191956,111459829.95,9032,F1,1,,,,,
2024-12-17,2024-12-17,CM,NSE,STK,14111,INE870H01013,NETWORK18,EQ,,,,,NETWORK18 MEDIA & INV LTD,75.0,75.06,73.25,73.54,73.36,74.36,,73.54,,,2407984,178200707.47,18104,F1,1,,,,,
2024-12-17,2024-12-17,CM,NSE,STK,24785,INE0YAL01017,PPSL,SM,,,,,PICTUREPOST STUDIOS LTD,31.6,33.5,31.6,33.4,33.4,31.8,,33.4,,,66000,2171400.0,20,F1,3000,,,,,
