TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-05-16,2025-05-16,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,9200.0,9300.0,9200.0,9300.0,9300.0,9175.06,,9275.5,,,332,3074999.0,5,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,9249.0,9475.0,9161.0,9189.66,9175.09,9153.32,,9189.66,,,227,2091943.26,56,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,9200.01,9225.0,9190.0,9197.7,9190.0,9127.13,,9197.7,,,462,4253330.65,68,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,9350.0,9350.0,9163.0,9192.2,9181.01,9130.78,,9192.2,,,136,1250086.19,32,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,9155.0,9235.0,9155.0,9213.23,9200.0,9129.99,,9211.28,,,84,773933.79,17,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,9170.25,9198.74,9132.1,9165.2,9156.0,9119.72,,9165.2,,,495,4544697.8,63,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,9175.0,9248.0,9150.0,9217.49,9175.0,9136.88,,9188.5,,,104,956014.97,35,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,250,IN0020170059,SGBOCT25,GB,,,,,2.50% GOLDBONDS2025SR-III,9349.0,9349.0,9193.01,9293.0,9293.0,9330.35,,9276.5,,,11,101783.04,8,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,304,IN0020170067,SGBOCT25IV,GB,,,,,2.50% GOLDBONDS2025SR-IV,9245.0,9300.0,9245.0,9258.33,9300.0,9260.0,,9258.33,,,44,407235.0,15,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,355,IN0020170075,SGBOCT25V,GB,,,,,2.50% GOLDBONDS2025SR-V,9152.16,9152.16,9152.16,9152.16,9152.16,9210.0,,9152.16,,,5,45760.8,1,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,458,IN0020170091,SGBNOV25,GB,,,,,2.50% GOLDBONDS2025SR-VII,9301.5,9301.5,9301.5,9301.5,9301.5,9540.0,,9301.5,,,2,18603.0,2,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,862,IN0020170158,SGBDEC2513,GB,,,,,2.50%GOLDBONDS2025SR-XIII,9200.0,9215.02,9200.0,9215.01,9215.02,9600.0,,9215.01,,,9,82875.04,5,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,9121.01,9299.0,9121.01,9275.0,9275.0,9440.0,,9213.01,,,32,294417.17,12,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,9125.0,9127.12,9123.01,9127.12,9127.12,9112.74,,9127.12,,,26,237208.34,3,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,9200.12,9250.0,9200.12,9250.0,9250.0,9350.39,,9250.0,,,9,83000.6,4,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,9277.0,9277.0,9210.0,9250.0,9250.0,9277.0,,9250.0,,,12,111096.0,5,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,9250.0,9250.0,9250.0,9250.0,9250.0,9270.0,,9250.0,,,2,18500.0,2,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,9155.0,9220.0,9155.0,9200.0,9200.0,9225.0,,9200.0,,,60,551875.0,10,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,9200.0,9250.0,9200.0,9250.0,9250.0,9150.0,,9225.0,,,130,1196150.0,3,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,9154.99,9250.0,9150.0,9220.0,9220.0,9155.0,,9220.0,,,47,434124.99,9,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,9270.0,9270.0,9200.0,9205.0,9200.0,9270.0,,9205.0,,,14,129430.0,6,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,9255.0,9255.0,9125.0,9125.05,9125.05,9254.96,,9125.05,,,3,27505.05,3,F1,1,,,,,
2025-05-16,2025-05-16,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,9250.0,9250.0,9250.0,9250.0,9250.0,9300.0,,9250.0,,,3,27750.0,1,F1,1,,,,,
