TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-12-02,2024-12-02,CM,NSE,STK,20167,INE0PDJ01013,ROXHITECH,SM,,,,,ROX HI TECH LIMITED,101.0,101.5,97.05,99.2,99.0,102.6,,99.2,,,158400,15843600.0,90,F1,1600,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,2969,INE623A01011,SAKHTISUG,EQ,,,,,SAKTHI SUGARS LTD,33.4,33.89,32.74,33.57,33.46,33.34,,33.57,,,184357,6145933.21,1783,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,7927,INE583L01014,AGSTRA,EQ,,,,,AGS TRANSACT TECH LTD,77.0,79.67,75.39,79.2,79.08,77.16,,79.19,,,546070,42580992.47,5714,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,641,INE016M01021,DNAMEDIA,EQ,,,,,DILIGENT MEDIA CORP LTD.,5.06,5.26,4.9,5.21,5.25,5.01,,5.21,,,103535,527140.6,476,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,23822,INE0S6S01017,HOACFOODS,SM,,,,,HOAC FOODS INDIA LIMITED,109.0,114.35,109.0,114.35,114.35,107.7,,114.35,,,2250,251512.5,3,F1,750,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,1838,INE036D01028,KARURVYSYA,EQ,,,,,KARUR VYSYA BANK LTD,238.0,238.74,234.36,237.49,237.4,236.56,,237.5,,,1450521,343802337.31,18930,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,4847,INE967H01025,KIMS,EQ,,,,,KRISHNA INST OF MED SCI L,589.0,605.0,585.1,602.45,600.1,589.55,,602.45,,,592271,355011130.1,25748,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,11852,INE713B01026,SURYALAXMI,EQ,,,,,SURYALAKSHMI COT MIL LTD,80.0,81.95,79.5,81.04,79.5,79.52,,80.97,,,7555,613809.25,252,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,8612,INE0GMR01016,SWARAJ,ST,,,,,SWARAJ SUITING LIMITED,242.5,242.5,242.5,242.5,242.5,237.75,,242.5,,,8000,1940000.0,13,F1,500,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,15414,INE615H01020,TITAGARH,EQ,,,,,TITAGARH RAIL SYSTEMS LTD,1202.5,1210.95,1186.9,1192.6,1193.5,1205.5,,1192.6,,,563941,675328270.25,36818,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,13188,INE330H01018,RCOM,BE,,,,,RELIANCE COMMUNICATIONS L,1.86,1.86,1.86,1.86,1.86,1.78,,1.89,,,6424273,11949147.78,1650,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,25724,INE895B01021,RUPA,EQ,,,,,RUPA & COMPANY LTD,259.6,266.45,257.55,261.8,262.8,258.85,,261.8,,,236760,62148873.95,4022,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,13642,IN0020220110,SGBDE30III,GB,,,,,2.50%GOLDBONDS2030SR-III,8250.0,8297.0,8102.23,8184.35,8184.0,8250.0,,8184.35,,,294,2409078.53,71,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,438,INE257A01026,BHEL,EQ,,,,,BHEL,249.75,251.25,248.1,249.65,249.65,251.09,,249.65,,,5206287,1299009544.7,48573,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,15141,INE259A01022,COLPAL,EQ,,,,,COLGATE PALMOLIVE LTD.,2890.0,2892.5,2853.4,2887.45,2887.85,2889.75,,2887.5,,,383513,1102520358.8,35362,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,11027,INE344S01016,INFOBEAN,EQ,,,,,INFOBEANS TECHNO. LTD.,432.0,439.0,425.55,434.3,439.0,426.6,,434.5,,,11674,5063674.2,1084,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,10605,INE970D01010,LOYALTEX,BE,,,,,LOYAL TEXTILE MILLS LTD,310.0,319.8,309.0,313.5,313.1,312.2,,313.9,,,4481,1406436.9,73,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,22377,INE027H01010,MAXHEALTH,EQ,,,,,MAX HEALTHCARE INS LTD,974.95,1022.9,970.15,1019.2,1017.45,979.75,,1019.2,,,1671142,1670300891.7,58264,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,4014,INE725A01022,NAVA,EQ,,,,,NAVA LIMITED,1063.0,1064.95,1016.75,1027.1,1024.1,1059.4,,1027.05,,,243890,250623536.35,14910,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,14672,INE048G01026,NAVINFLUOR,EQ,,,,,NAVIN FLUORINE INT. LTD,3480.0,3602.0,3480.0,3583.0,3585.0,3507.9,,3583.0,,,146051,521641630.7,21164,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,4693,INE810G01011,SHYAMMETL,EQ,,,,,SHYAM METALICS AND ENGY L,839.7,842.5,815.45,818.0,815.5,834.6,,817.95,,,150716,124099010.3,11313,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,7838,INF277K015R5,NETF,EQ,,,,,TATAAML - NETF,260.4,260.4,256.59,258.65,258.56,257.18,,258.65,,,2854,737158.36,262,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,18151,INE395N01027,TVSSCS,EQ,,,,,TVS SUPPLY CHAIN SOL L,177.07,179.8,176.12,178.01,178.05,176.93,,178.0,,,456781,81518211.55,9270,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,25877,INE195Y01010,SECURCRED,BZ,,,,,SECUR CREDENTIALS LIMITED,3.22,3.22,3.22,3.22,3.22,3.16,,3.2,,,43690,140681.8,79,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,480,INE340A01012,BIRLACORPN,EQ,,,,,BIRLA CORPORATION LTD,1235.0,1264.25,1223.15,1256.3,1244.6,1242.55,,1256.2,,,106490,132750142.9,14409,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,6600,INE949P01018,GENUSPAPER,EQ,,,,,GENUS P&B LIMITED,22.1,24.9,21.8,24.02,24.0,22.17,,24.02,,,1806402,42846477.21,5771,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,27170,IN0020240142,709GS2074,GS,,,,,GOI LOAN   7.09% 2074,100.0,100.21,100.0,100.21,100.21,101.0,,100.21,,,200,20021.0,2,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,3202,IN0020210012,563GS2026,GS,,,,,GOI LOAN  5.63% 2026,99.25,99.25,99.25,99.25,99.25,99.25,,103.4,,,1,99.25,1,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,19731,INE517F01014,GPPL,EQ,,,,,GUJARAT PIPAVAV PORT LTD,187.6,188.21,185.13,187.53,187.51,187.57,,187.55,,,448731,83870544.39,9871,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,19698,INE262A01018,HMT,BZ,,,,,HMT LTD -,63.5,65.6,61.5,65.46,65.6,62.48,,65.43,,,21199,1357999.2,211,F1,1,,,,,
2024-12-02,2024-12-02,CM,NSE,STK,22475,INE0QEI01011,KONSTELEC,ST,,,,,KONSTELEC ENGINEERS LTD,112.0,113.5,111.0,113.45,113.45,114.55,,113.45,,,22000,2477250.0,19,F1,1000,,,,,
