TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-07-15,2025-07-15,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,10096.25,10096.25,9781.01,9850.66,9850.0,9850.0,,9850.66,,,136,1336953.09,25,F1,1,,,,,
2025-07-15,2025-07-15,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,9934.58,9989.0,9831.0,9874.18,9869.0,9934.58,,9876.92,,,71,701098.53,25,F1,1,,,,,
2025-07-15,2025-07-15,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,9855.0,9900.0,9841.05,9886.63,9900.0,9854.15,,9886.63,,,1167,11528696.35,112,F1,1,,,,,
2025-07-15,2025-07-15,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,9850.0,9890.0,9811.7,9873.16,9875.0,9861.6,,9871.32,,,106,1044970.51,44,F1,1,,,,,
2025-07-15,2025-07-15,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,9860.3,9899.0,9837.03,9876.18,9899.0,9860.3,,9887.62,,,328,3238991.79,39,F1,1,,,,,
2025-07-15,2025-07-15,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,9895.8,9900.0,9855.6,9884.41,9899.99,9895.8,,9883.81,,,508,5020099.7,58,F1,1,,,,,
2025-07-15,2025-07-15,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,9880.0,9910.0,9845.0,9866.57,9875.54,9870.42,,9865.36,,,459,4530723.8,60,F1,1,,,,,
2025-07-15,2025-07-15,CM,NSE,STK,250,IN0020170059,SGBOCT25,GB,,,,,2.50% GOLDBONDS2025SR-III,9791.01,9849.0,9791.01,9849.0,9849.0,9849.0,,9849.0,,,5,49129.02,3,F1,1,,,,,
2025-07-15,2025-07-15,CM,NSE,STK,304,IN0020170067,SGBOCT25IV,GB,,,,,2.50% GOLDBONDS2025SR-IV,9825.04,9825.04,9810.11,9821.0,9821.0,9825.04,,9821.0,,,9,88349.48,4,F1,1,,,,,
2025-07-15,2025-07-15,CM,NSE,STK,540,IN0020170117,SGBNOV25IX,GB,,,,,2.50%GOLDBONDS 2025SR-IX,9800.0,9850.0,9800.0,9842.76,9849.0,9900.0,,9842.76,,,175,1718435.02,23,F1,1,,,,,
2025-07-15,2025-07-15,CM,NSE,STK,862,IN0020170158,SGBDEC2513,GB,,,,,2.50%GOLDBONDS2025SR-XIII,9826.0,9826.0,9826.0,9826.0,9826.0,9825.0,,9826.0,,,13,127738.0,1,F1,1,,,,,
