TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-08-23,2024-08-23,CM,NSE,STK,7,INE769A01020,AARTIIND,EQ,,,,,AARTI INDUSTRIES LTD,625.2,627.0,617.55,620.8,620.4,625.2,,620.8,,,1272130,790409358.15,25932,F1,1,,,,,
2024-08-23,2024-08-23,CM,NSE,STK,4160,INE369C01017,NORBTEAEXP,EQ,,,,,NORBEN TEA & EXPORTS LTD,15.79,15.8,15.75,15.8,15.8,15.05,,15.8,,,25856,408382.07,88,F1,1,,,,,
2024-08-23,2024-08-23,CM,NSE,STK,9685,INE064C01022,TRIDENT,EQ,,,,,TRIDENT LIMITED,38.32,38.32,37.64,37.74,37.72,38.03,,37.74,,,5822225,220997565.49,25531,F1,1,,,,,
2024-08-23,2024-08-23,CM,NSE,STK,19234,INE947Q01028,LAURUSLABS,EQ,,,,,LAURUS LABS LIMITED,449.75,453.75,444.3,446.2,446.0,449.75,,446.2,,,1165399,522335223.9,19407,F1,1,,,,,
2024-08-23,2024-08-23,CM,NSE,STK,22649,INE988S01028,PARKHOTELS,EQ,,,,,PARKHOTELS,180.15,180.55,176.85,177.67,177.4,180.42,,177.67,,,272530,48453561.65,6755,F1,1,,,,,
2024-08-23,2024-08-23,CM,NSE,STK,20794,INE235C01010,SUMEETINDS,BE,,,,,SUMEET IND LIMITED,3.76,3.86,3.76,3.86,3.86,3.79,,4.01,,,720547,2759675.62,151,F1,1,,,,,
2024-08-23,2024-08-23,CM,NSE,STK,6863,INE411U01027,BAJAJHCARE,EQ,,,,,BAJAJ HEALTHCARE LIMITED,412.25,418.0,405.1,410.1,407.9,413.75,,410.3,,,182703,75478573.25,8970,F1,1,,,,,
2024-08-23,2024-08-23,CM,NSE,STK,8153,INE00EM01016,MEGASTAR,EQ,,,,,MEGASTAR FOODS LIMITED,302.2,305.0,298.95,300.9,300.05,300.75,,300.85,,,4712,1423145.2,574,F1,1,,,,,
2024-08-23,2024-08-23,CM,NSE,STK,19203,IN0020160076,SGBNOV24,GB,,,,,2.50% GOLDBONDS2024 TR-VI,7251.1,7335.0,7251.1,7325.37,7325.0,7325.03,,7325.37,,,109,796809.82,21,F1,1,,,,,
2024-08-23,2024-08-23,CM,NSE,STK,21132,INE0PCY01014,AKANKSHA,ST,,,,,AKANKSHA POWER N INFRA L,120.0,120.0,115.0,119.9,119.9,118.7,,119.9,,,28000,3303200.0,13,F1,2000,,,,,
2024-08-23,2024-08-23,CM,NSE,STK,1139,INE289B01019,GICHSGFIN,EQ,,,,,GIC HOUSING FINANCE LTD,248.05,249.85,241.8,242.75,243.75,247.7,,242.75,,,142527,34955714.9,6143,F1,1,,,,,
2024-08-23,2024-08-23,CM,NSE,STK,14450,INE069I01010,EMBDL,EQ,,,,,EQUINOX INDIA DEV LTD,142.5,145.74,138.55,139.73,139.01,142.17,,139.72,,,10466630,1492137125.61,56129,F1,1,,,,,
2024-08-23,2024-08-23,CM,NSE,STK,8944,INE01EG01016,RITCO,EQ,,,,,RITCO LOGISTICS LIMITED,336.0,348.0,328.5,335.15,335.85,335.85,,335.15,,,135839,45691294.8,6532,F1,1,,,,,
2024-08-23,2024-08-23,CM,NSE,STK,11966,INE00E101023,BIKAJI,EQ,,,,,BIKAJI FOODS INTERN LTD,859.95,859.95,843.4,854.6,852.0,855.0,,854.55,,,294422,250951157.9,11751,F1,1,,,,,
2024-08-23,2024-08-23,CM,NSE,STK,22527,INE0SK801018,DELAPLEX,SM,,,,,DELAPLEX LIMITED,250.0,258.9,248.0,251.75,248.0,250.8,,251.75,,,17400,4388340.0,28,F1,600,,,,,
