TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-07,2025-01-07,CM,NSE,STK,24715,INE09XN01023,AKUMS,EQ,,,,,AKUMS DRUGS AND PHARMA L,610.6,620.9,610.0,611.6,613.3,607.6,,611.6,,,110518,67992238.8,4493,F1,1,,,,,
2025-01-07,2025-01-07,CM,NSE,STK,17383,INE0P7201019,DRONE,ST,,,,,DRONE DESTINATION LIMITED,202.7,202.7,202.7,202.7,202.7,206.8,,202.7,,,9000,1824300.0,17,F1,500,,,,,
2025-01-07,2025-01-07,CM,NSE,STK,14111,INE870H01013,NETWORK18,EQ,,,,,NETWORK18 MEDIA & INV LTD,69.49,70.25,68.52,68.99,69.0,68.95,,68.99,,,3080407,213026178.11,19110,F1,1,,,,,
2025-01-07,2025-01-07,CM,NSE,STK,24785,INE0YAL01017,PPSL,SM,,,,,PICTUREPOST STUDIOS LTD,35.2,36.0,34.0,35.95,36.0,33.6,,35.95,,,126000,4434000.0,39,F1,3000,,,,,
2025-01-07,2025-01-07,CM,NSE,STK,24481,INE0P4701011,SAHAJSOLAR,ST,,,,,SAHAJ SOLAR LIMITED,549.7,560.0,534.0,539.0,536.0,551.2,,539.0,,,25400,13797250.0,106,F1,200,,,,,
2025-01-07,2025-01-07,CM,NSE,STK,20784,INE413U07251,1050ISFL28,N5,,,,,SEC RE NCD 10.50% SR 6,965.0,965.0,965.0,965.0,965.0,954.7,,967.5,,,115,110975.0,2,F1,1,,,,,
2025-01-07,2025-01-07,CM,NSE,STK,967,INE754A01055,SUBEXLTD,EQ,,,,,SUBEX LTD,21.9,22.48,21.9,22.24,22.24,21.78,,22.24,,,2296914,51147590.47,6286,F1,1,,,,,
2025-01-07,2025-01-07,CM,NSE,STK,3345,INE387A01021,SUNDRMFAST,EQ,,,,,SUNDRAM FASTENERS LTD,1047.7,1061.95,1046.05,1057.2,1053.05,1047.7,,1057.15,,,22339,23553712.15,3987,F1,1,,,,,
2025-01-07,2025-01-07,CM,NSE,STK,19307,INE0PQ001012,VISHNUINFR,ST,,,,,VISHNUSURYA PROJ N INFR L,260.95,263.65,255.0,263.45,263.65,251.1,,263.45,,,67500,17713800.0,83,F1,500,,,,,
2025-01-07,2025-01-07,CM,NSE,STK,28125,INE115Q01022,IKS,EQ,,,,,INVENTURUS KNOWLEDGE SO L,1878.35,1983.85,1871.05,1973.95,1975.0,1867.35,,1973.95,,,534478,1039658038.8,29970,F1,1,,,,,
