TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-10-22,2024-10-22,CM,NSE,STK,24785,INE0YAL01017,PPSL,SM,,,,,PICTUREPOST STUDIOS LTD,32.4,33.0,30.5,32.4,32.85,31.55,,32.4,,,228000,7342800.0,38,F1,6000,,,,,
2024-10-22,2024-10-22,CM,NSE,STK,24481,INE0P4701011,SAHAJSOLAR,ST,,,,,SAHAJ SOLAR LIMITED,562.0,562.0,534.85,534.85,534.85,563.0,,534.85,,,50400,27199240.0,62,F1,800,,,,,
2024-10-22,2024-10-22,CM,NSE,STK,24715,INE09XN01023,AKUMS,EQ,,,,,AKUMS DRUGS AND PHARMA L,915.75,927.95,888.0,903.95,891.0,915.75,,903.95,,,247409,224331665.7,9092,F1,1,,,,,
2024-10-22,2024-10-22,CM,NSE,STK,17383,INE0P7201019,DRONE,ST,,,,,DRONE DESTINATION LIMITED,222.85,222.85,208.0,212.55,213.0,212.4,,212.55,,,56000,12027350.0,51,F1,1000,,,,,
2024-10-22,2024-10-22,CM,NSE,STK,16787,INE200A01026,GET&D,BE,,,,,GE T&D INDIA LIMITED,1760.0,1769.0,1678.1,1746.9,1740.0,1765.9,,1746.9,,,456732,793933001.25,19642,F1,1,,,,,
2024-10-22,2024-10-22,CM,NSE,STK,12219,INE263M01029,RUSTOMJEE,EQ,,,,,KEYSTONE REALTORS LIMITED,712.75,713.1,686.0,691.75,686.0,712.75,,691.75,,,33223,23144804.05,2986,F1,1,,,,,
2024-10-22,2024-10-22,CM,NSE,STK,22739,INF247L01AP3,MON100,EQ,,,,,MOTILAL OS NASDAQ100 ETF,167.5,167.5,164.92,165.05,165.05,165.29,,165.03,,,483491,80059121.52,5885,F1,1,,,,,
2024-10-22,2024-10-22,CM,NSE,STK,14448,INE308A01027,NAHARPOLY,BE,,,,,NAHAR POLY FILMS LIMITED,259.5,259.5,240.15,242.35,240.15,250.7,,242.4,,,6314,1568259.96,162,F1,1,,,,,
2024-10-22,2024-10-22,CM,NSE,STK,14111,INE870H01013,NETWORK18,EQ,,,,,NETWORK18 MEDIA & INV LTD,79.99,80.71,75.22,76.08,76.41,80.0,,76.08,,,3012372,234090800.54,21916,F1,1,,,,,
2024-10-22,2024-10-22,CM,NSE,STK,967,INE754A01055,SUBEXLTD,EQ,,,,,SUBEX LTD,24.4,24.4,22.8,23.03,23.08,23.96,,23.03,,,5345438,125272625.84,15512,F1,1,,,,,
