TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-13,2025-01-13,CM,NSE,STK,19456,IN0020230093,SGBSEP31II,GB,,,,,2.50%GOLDBONDS2031SR-II,8308.8,8330.0,8260.02,8267.75,8264.0,8308.8,,8267.74,,,874,7247257.55,183,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,368,INE373A01013,BASF,EQ,,,,,BASF INDIA LTD,5125.0,5148.95,4776.8,4821.1,4791.9,5111.45,,4822.0,,,41736,205082504.6,10871,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,11461,INE455F01025,JPASSOCIAT,BE,,,,,JAIPRAKASH ASSOCIATES LTD,5.54,5.54,5.54,5.54,5.54,5.84,,5.54,,,2377998,13174108.92,430,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,7885,INE268B01013,KREBSBIO,BE,,,,,KREBS BIOCHEMICALS & IND,90.0,90.0,86.5,86.51,86.5,91.06,,86.51,,,10978,961538.84,79,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,18341,INE0AE001013,VPRPL,EQ,,,,,VISHNU PRAKASH R PUNGLI L,241.0,258.65,240.35,242.8,245.0,259.25,,242.85,,,1411514,350187475.8,54373,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,22947,INE777F01014,EXICOM,EQ,,,,,EXICOM TELE SYSTEMS LTD,254.0,254.0,243.2,243.2,243.2,256.01,,243.3,,,241606,59654197.76,6079,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,11896,INE007B01023,GEOJITFSL,EQ,,,,,GEOJIT FINANCIAL SER L,103.75,105.95,99.8,100.61,101.45,105.05,,100.65,,,515463,52650671.89,16498,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,1372,INE310C01029,HINDCOMPOS,EQ,,,,,HINDUSTAN COMPOSITES LTD.,492.0,492.45,450.9,459.45,451.0,489.45,,459.55,,,12449,5879398.95,1575,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,25844,INE0V6F01027,HYUNDAI,EQ,,,,,HYUNDAI MOTOR INDIA LTD,1768.4,1782.6,1747.15,1766.95,1764.15,1787.6,,1766.95,,,433775,767004580.3,47413,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,11571,INE0DK501011,PPLPHARMA,EQ,,,,,PIRAMAL PHARMA LIMITED,215.05,242.5,215.0,232.65,233.5,221.25,,232.65,,,34819521,8165772185.1,333200,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,23721,INE0TNX01015,REFRACTORY,ST,,,,,REFRACTORY SHAPES LIMITED,83.0,83.75,80.0,83.0,83.0,80.75,,83.0,,,13000,1070000.0,9,F1,1000,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,29016,INE345B01019,CEREBRAINT,BZ,,,,,CEREBRA INT TECH LTD,10.05,10.09,9.85,9.93,10.05,9.61,,9.95,,,223543,2246641.34,338,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,25643,INE0Q3J01015,KRN,EQ,,,,,KRN HEAT EXCHANGE N REF L,695.0,723.85,675.3,711.5,705.0,706.95,,711.45,,,610312,429967418.7,24481,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,1497,INE644Y01017,SHIVAMILLS,EQ,,,,,SHIVA MILLS LIMITED,100.7,100.7,89.57,90.08,89.7,97.07,,90.09,,,28278,2640828.03,896,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,14771,INE924H01018,TARMAT,EQ,,,,,TARMAT LIMITED,68.37,69.99,63.0,63.52,63.2,68.37,,63.51,,,51315,3365149.87,1541,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,13859,INE411B01019,VENUSREM,EQ,,,,,VENUS REMEDIES LIMITED,299.0,300.0,287.85,288.85,289.0,296.6,,288.85,,,15922,4687039.55,964,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,27969,INE01EA01019,VMM,EQ,,,,,VISHAL MEGA MART LIMITED,105.9,107.6,101.5,104.12,104.02,108.51,,104.15,,,24126088,2522884297.14,97752,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,7358,INE0IX101010,DATAPATTNS,EQ,,,,,DATA PATTERNS INDIA LTD,2190.0,2218.95,2056.7,2089.0,2105.0,2234.2,,2089.8,,,209284,444243533.0,42863,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,14116,INE524B01027,GANDHITUBE,EQ,,,,,GANDHI SPL. TUBES LTD,766.3,766.3,704.5,714.05,710.0,756.7,,714.1,,,8654,6280800.6,1061,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,13890,INE835D01023,HIRECT,EQ,,,,,HIND RECTIFIER LIMITED,1233.0,1252.75,1187.15,1187.15,1187.15,1249.6,,1187.9,,,17171,20911572.8,2587,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,13526,INE0N7F01017,HOMESFY,SM,,,,,HOMESFY REALTY LIMITED,475.0,523.0,475.0,523.0,523.0,499.9,,523.0,,,600,299400.0,2,F1,300,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,6364,INE139A01034,NATIONALUM,EQ,,,,,NATIONAL ALUMINIUM CO LTD,198.25,200.87,191.01,191.6,191.35,202.26,,191.6,,,9577626,1877053133.73,66252,F1,1,,,,,
2025-01-13,2025-01-13,CM,NSE,STK,8735,INE0KN801013,PROPEQUITY,SM,,,,,P. E. ANALYTICS LIMITED,264.05,264.05,264.0,264.0,264.0,264.0,,264.0,,,1800,475230.0,3,F1,600,,,,,
