TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-12-10,2024-12-10,CM,NSE,STK,19451,INE707C01018,CAPTRUST,BE,,,,,CAPITAL TRUST LIMITED,119.21,125.0,119.0,123.98,124.0,119.21,,123.95,,,14251,1744219.33,157,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,13739,INE792H01019,GLOBALVECT,BE,,,,,GLOBAL VEC HELICORP LTD,300.05,315.05,300.05,315.05,315.05,300.05,,315.05,,,22302,6980743.25,611,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,17920,INE191I01012,HDIL,BZ,,,,,HOUSING DEV & INFRA LTD,4.04,4.1,3.96,4.0,4.0,4.04,,4.0,,,199331,800294.98,316,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,18553,INE682M01012,JLHL,EQ,,,,,JUPITER LIFE LINE HOSP L,1565.55,1618.75,1550.4,1597.9,1600.0,1576.5,,1597.95,,,65868,105334048.55,8273,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,3327,INE659A01023,SUDARSCHEM,EQ,,,,,SUDARSHAN CHEMICAL INDS L,1130.0,1138.45,1120.4,1131.95,1131.95,1130.0,,1131.95,,,137869,155862559.05,10706,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,3129,INE757B01015,TRANSWORLD,EQ,,,,,TRANSWORLD SHIP LINES LTD,461.85,472.8,451.15,465.2,468.55,459.15,,465.15,,,124347,57340632.6,2869,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,14566,INE318D01020,ZENITHSTL,BE,,,,,ZENITH STEEL PIP IND LTD,8.99,9.1,8.85,8.92,8.92,8.99,,8.85,,,65276,581698.15,320,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,17520,INE399K01017,RTNPOWER,EQ,,,,,RATTANINDIA POWER LIMITED,14.78,14.84,14.13,14.34,14.22,14.78,,14.34,,,18615491,268802270.72,26765,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,25073,INE02ID01020,RAYMONDLSL,EQ,,,,,RAYMOND LIFESTYLE LIMITED,2130.0,2188.0,2080.1,2137.95,2135.05,2125.5,,2138.15,,,172718,369858957.85,13622,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,12913,INE324X01026,SARVESHWAR,EQ,,,,,SARVESHWAR FOODS LIMITED,11.25,11.4,10.43,10.54,10.57,10.98,,10.54,,,14522774,155393588.75,24691,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,19015,INE0KNT01012,MVGJL,EQ,,,,,MANOJ VAIBHAV GEM N JEW L,249.9,255.9,240.0,246.14,248.0,247.49,,246.15,,,475002,117227279.78,7164,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,10822,INF247L01BH8,MOQUALITY,EQ,,,,,MOTILALAMC - MOQUALITY,193.06,196.88,191.8,193.44,196.0,193.06,,193.43,,,1497,288944.75,87,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,2319,INE868B01028,NCC,EQ,,,,,NCC LIMITED,313.0,315.65,308.5,313.25,313.1,312.9,,313.25,,,2283312,711729247.35,32511,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,20092,INE488B01017,TASTYBITE,EQ,,,,,TASTY BITE EATABLES LTD,10890.2,11077.0,10840.0,11013.9,10910.0,10819.85,,11014.2,,,3593,39462591.2,1430,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,2439,INE542C01019,NKIND,EQ,,,,,NK INDUSTRIES LTD,63.11,67.34,63.11,67.34,67.34,61.22,,67.11,,,8752,578978.4,95,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,8825,INE959A01019,PRIVISCL,EQ,,,,,PRIVI SPECIALITY CHE LTD,1870.0,1890.9,1865.2,1882.95,1877.25,1876.45,,1882.5,,,11871,22327970.15,1100,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,11491,INE372A01015,APARINDS,EQ,,,,,APAR INDUSTRIES LTD.,10250.7,10368.55,9768.0,9930.5,10010.0,10208.95,,9930.75,,,130698,1316743676.25,27026,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,21406,INE349W01017,AVADHSUGAR,EQ,,,,,AVADH SUG & ENERGY LTD,607.9,611.95,600.2,606.6,607.4,604.0,,606.6,,,71469,43261182.2,1842,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,20532,INF846K01W80,AXISGOLD,EQ,,,,,AXIS MF - AXIS GOLD ETF,62.65,65.19,62.65,65.08,65.05,64.58,,65.07,,,207203,13480190.59,1374,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,12153,INE01EE01011,BBTCL,EQ,,,,,B&B TRIPLEWALL CONT LTD,219.69,219.69,215.02,217.49,218.0,218.47,,217.5,,,2765,600716.77,257,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,23987,INE0RUV01018,AIMTRON,ST,,,,,AIMTRON ELECTRONICS LTD,613.45,613.45,613.45,613.45,613.45,601.45,,613.45,,,21600,13250520.0,22,F1,400,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,15869,INE0NUL01018,AUROIMPEX,SM,,,,,AURO IMPEX & CHEMICALS L,82.0,83.75,82.0,83.05,83.65,81.6,,83.05,,,14400,1191520.0,9,F1,1600,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,24154,INE841L01016,DEEDEV,EQ,,,,,DEE DEVELOPMENT ENG LTD,353.0,359.75,341.95,346.5,346.7,349.8,,346.45,,,519968,183079299.6,8306,F1,1,,,,,
2024-12-10,2024-12-10,CM,NSE,STK,13745,INE221H01019,GTLINFRA,EQ,,,,,GTL INFRA.LTD,2.32,2.33,2.21,2.23,2.24,2.32,,2.23,,,53528677,120340448.8,32797,F1,1,,,,,
